"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","HUR","TOT","PC_LF","M","2016-01",6.601516,"E"
"OECD","HUR","TOT","PC_LF","M","2016-02",6.597476,"E"
"OECD","HUR","TOT","PC_LF","M","2016-03",6.614907,"E"
"OECD","HUR","TOT","PC_LF","M","2016-04",6.534767,"E"
"OECD","HUR","TOT","PC_LF","M","2016-05",6.465953,"E"
"OECD","HUR","TOT","PC_LF","M","2016-06",6.469063,"E"
"OECD","HUR","TOT","PC_LF","M","2016-07",6.416567,"E"
"OECD","HUR","TOT","PC_LF","M","2016-08",6.434665,"E"
"OECD","HUR","TOT","PC_LF","M","2016-09",6.452879,"E"
"OECD","HUR","TOT","PC_LF","M","2016-10",6.388381,"E"
"OECD","HUR","TOT","PC_LF","M","2016-11",6.325733,"E"
"OECD","HUR","TOT","PC_LF","M","2016-12",6.336168,"E"
"OECD","HUR","TOT","PC_LF","M","2017-01",6.261677,"E"
"OECD","HUR","TOT","PC_LF","M","2017-02",6.214661,"E"
"OECD","HUR","TOT","PC_LF","M","2017-03",6.11854,"E"
"OECD","HUR","TOT","PC_LF","M","2017-04",6.025527,"E"
"OECD","HUR","TOT","PC_LF","M","2017-05",6.025619,"E"
"OECD","HUR","TOT","PC_LF","M","2017-06",5.894839,"E"
"OECD","HUR","TOT","PC_LF","M","2017-07",5.853162,"E"
"OECD","HUR","TOT","PC_LF","M","2017-08",5.871562,"E"
"OECD","HUR","TOT","PC_LF","M","2017-09",5.816303,"E"
"OECD","HUR","TOT","PC_LF","M","2017-10",5.763294,"E"
"OECD","HUR","TOT","PC_LF","M","2017-11",5.746202,"E"
"OECD","HUR","TOT","PC_LF","M","2017-12",5.680923,"E"
"OECD","HUR","TOT","PC_LF","M","2018-01",5.587535,"E"
"OECD","HUR","TOT","PC_LF","M","2018-02",5.585557,"E"
"OECD","HUR","TOT","PC_LF","M","2018-03",5.543513,"E"
"OECD","HUR","TOT","PC_LF","M","2018-04",5.543765,"E"
"OECD","HUR","TOT","PC_LF","M","2018-05",5.430322,"E"
"OECD","HUR","TOT","PC_LF","M","2018-06",5.479093,"E"
"OECD","HUR","TOT","PC_LF","M","2018-07",5.421874,"E"
"OECD","HUR","TOT","PC_LF","M","2018-08",5.445921,"E"
"OECD","HUR","TOT","PC_LF","M","2018-09",5.430136,"E"
"OECD","HUR","TOT","PC_LF","M","2018-10",5.466933,"E"
"OECD","HUR","TOT","PC_LF","M","2018-11",5.482353,"E"
"OECD","HUR","TOT","PC_LF","M","2018-12",5.560284,"E"
"OECD","HUR","TOT","PC_LF","M","2019-01",5.597978,"E"
"OECD","HUR","TOT","PC_LF","M","2019-02",5.505062,"E"
"OECD","HUR","TOT","PC_LF","M","2019-03",5.531229,"E"
"OECD","HUR","TOT","PC_LF","M","2019-04",5.436631,"E"
"OECD","HUR","TOT","PC_LF","M","2019-05",5.403657,"E"
"OECD","HUR","TOT","PC_LF","M","2019-06",5.341796,"E"
"OECD","HUR","TOT","PC_LF","M","2019-07",5.402593,"E"
"OECD","HUR","TOT","PC_LF","M","2019-08",5.382309,"E"
"OECD","HUR","TOT","PC_LF","M","2019-09",5.357959,"E"
"OECD","HUR","TOT","PC_LF","M","2019-10",5.37709,"E"
"OECD","HUR","TOT","PC_LF","M","2019-11",5.369062,"E"
"OECD","HUR","TOT","PC_LF","M","2019-12",5.30921,"E"
"OECD","HUR","TOT","PC_LF","M","2020-01",5.360084,"E"
"OECD","HUR","TOT","PC_LF","M","2020-02",5.280967,"E"
"OECD","HUR","TOT","PC_LF","M","2020-03",5.589447,"E"
"OECD","HUR","TOT","PC_LF","M","2020-04",8.804365,"E"
"OECD","HUR","TOT","PC_LF","M","2020-05",8.646074,"E"
"OECD","HUR","TOT","PC_LF","M","2020-06",8.292385,"E"
"OECD","HUR","TOT","PC_LF","M","2020-07",8.152027,"E"
"OECD","HUR","TOT","PC_LF","M","2020-08",7.561518,"E"
"OECD","HUR","TOT","PC_LF","M","2020-09",7.380653,"E"
"OECD","HUR","TOT","PC_LF","M","2020-10",7.126306,"E"
"OECD","HUR","TOT","PC_LF","M","2020-11",6.944698,"E"
"OECD","HUR","TOT","PC_LF","M","2020-12",6.905504,"E"
"OECD","HUR","TOT","PC_LF","M","2021-01",6.865325,"E"
"OECD","HUR","TOT","PC_LF","M","2021-02",6.745301,"E"
"OECD","HUR","TOT","PC_LF","M","2021-03",6.590004,"E"
"OECD","HUR","TOT","PC_LF","M","2021-04",6.702035,"E"
"OECD","HUR","TOT","PC_LF","M","2021-05",6.477779,"E"
"OECD","HUR","TOT","PC_LF","M","2021-06",6.294303,"E"
"OECD","HUR","TOT","PC_LF","M","2021-07",6.027047,"E"
"OECD","HUR","TOT","PC_LF","M","2021-08",5.929885,"E"
"OECD","HUR","TOT","PC_LF","M","2021-09",5.726136,"E"
"OECD","HUR","TOT","PC_LF","M","2021-10",5.651194,"E"
"OECD","HUR","TOT","PC_LF","M","2021-11",5.495979,"E"
"OECD","HUR","TOT","PC_LF","M","2021-12",5.355989,"E"
"OECD","HUR","TOT","PC_LF","M","2022-01",5.33296,"E"
"OECD","HUR","TOT","PC_LF","M","2022-02",5.158564,"E"
"OECD","HUR","TOT","PC_LF","M","2022-03",5.057419,"E"
"OECD","HUR","TOT","PC_LF","M","2022-04",4.96688,"E"
"OECD","HUR","TOT","PC_LF","M","2022-05",4.96178,"E"
"OECD","HUR","TOT","PC_LF","M","2022-06",4.936337,"E"
